Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
Schagen,GM0441,441,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,171943626.68433,65526.6028088068,1588550400000,72,19,7,46482,154.9,40.9,15.1,257
Scherpenzeel,GM0279,279,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,13818668.4589462,18781.9595326064,1588550400000,22,4,2,9880,222.7,40.5,20.2,258
Schiedam,GM0606,606,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,19854890.8551788,23043.134384494,1588550400000,185,44,15,78739,235,55.9,19.1,259
Schiermonnikoog,GM0088,88,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,44646473.162796,50548.5485603487,1588550400000,0,0,0,947,0,0,0,260
Schouwen-Duiveland,GM1676,1676,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,238450338.036651,145022.737969849,1588550400000,37,11,1,33858,109.3,32.5,3,261
Simpelveld,GM0965,965,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,16044392.3415871,19514.560634716,1588550400000,40,18,5,10552,379.1,170.6,47.4,262
Sint-Michielsgestel,GM0845,845,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,59365833.3664742,52264.8209876239,1588550400000,94,36,15,29203,321.9,123.3,51.4,263
Sint Anthonis,GM1702,1702,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,99806672.452713,46093.5236987389,1588550400000,61,20,10,11672,522.6,171.4,85.7,264
Sittard-Geleen,GM1883,1883,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,80556496.6867294,50150.6348160475,1588550400000,373,111,55,92422,403.6,120.1,59.5,265
Sliedrecht,GM0610,610,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,13997060.263546,16096.7662567799,1588550400000,49,9,5,25217,194.3,35.7,19.8,266
Sluis,GM1714,1714,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,283309984.114966,102088.021334559,1588550400000,17,8,4,23217,73.2,34.5,17.2,267
Smallingerland,GM0090,90,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,126208657.193115,61274.3830962894,1588550400000,51,9,5,56154,90.8,16,8.9,268
Soest,GM0342,342,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,46438500.6457939,30219.5936558335,1588550400000,74,22,10,46607,158.8,47.2,21.5,269
Someren,GM0847,847,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,81502846.4261742,41366.9294075913,1588550400000,96,30,8,19376,495.5,154.8,41.3,270
Son en Breugel,GM0848,848,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,26546315.5477142,27866.1266839962,1588550400000,70,31,14,17321,404.1,179,80.8,271
Stadskanaal,GM0037,37,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,120028760.508255,63423.8602665789,1588550400000,5,2,1,31688,15.8,6.3,3.2,272
Staphorst,GM0180,180,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,135718839.771156,57797.4660233176,1588550400000,56,8,4,17144,326.6,46.7,23.3,273
Stede Broec,GM0532,532,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,15608942.0216293,16652.3599587963,1588550400000,48,19,5,21734,220.9,87.4,23,274
