Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
's-Gravenhage,GM0518,518,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,85731024.9444771,79827.5689376546,1588550400000,1181,281,164,545163,216.6,51.5,30.1,1
's-Hertogenbosch,GM0796,796,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,117766029.255421,69415.5834847616,1588550400000,441,124,71,155113,284.3,79.9,45.8,2
Aa en Hunze,GM1680,1680,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,278859332.694183,91500.8180294114,1588550400000,14,1,0,25453,55,3.9,0,3
Aalsmeer,GM0358,358,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,32312681.1340675,32690.9892688834,1588550400000,37,9,2,31857,116.1,28.3,6.3,4
Aalten,GM0197,197,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,97029805.3573914,51271.5375751559,1588550400000,53,6,5,27117,195.4,22.1,18.4,5
Achtkarspelen,GM0059,59,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,103994367.458435,55508.9622207415,1588550400000,10,0,0,27836,35.9,0,0,6
Alblasserdam,GM0482,482,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,10061190.4009972,16999.9552809411,1588550400000,40,10,2,20165,198.4,49.6,9.9,7
Albrandswaard,GM0613,613,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,23730010.7725525,21599.2016368651,1588550400000,88,10,7,25589,343.9,39.1,27.4,8
Alkmaar,GM0361,361,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,117315562.613468,68153.6650750395,1588550400000,225,53,25,109444,205.6,48.4,22.8,9
Almelo,GM0141,141,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,69410856.0931854,43568.8613298553,1588550400000,88,22,9,73080,120.4,30.1,12.3,10
Almere,GM0034,34,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,139862163.599083,59737.2925489043,1588550400000,341,119,12,211840,161,56.2,5.7,11
Alphen-Chaam,GM1723,1723,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,93540529.0382805,65684.8784518118,1588550400000,45,17,5,10213,440.6,166.5,49,12
Alphen aan den Rijn,GM0484,484,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,132435313.217503,57713.4615900133,1588550400000,164,57,22,111889,146.6,50.9,19.7,13
Altena,GM1959,1959,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,226664353.93116,87443.2766789959,1588550400000,118,30,11,55980,210.8,53.6,19.6,14
Ameland,GM0060,60,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,59004814.9070969,54357.1757104799,1588550400000,0,0,0,3718,0,0,0,15
Amersfoort,GM0307,307,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,63834637.6518745,53006.2816778329,1588550400000,172,56,22,157279,109.4,35.6,14,16
Amstelveen,GM0362,362,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,44064698.822216,31669.8206546904,1588550400000,295,55,33,91691,321.7,60,36,17
Amsterdam,GM0363,363,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,196506076.760612,118977.148641742,1588550400000,1998,567,205,872779,228.9,65,23.5,18
Apeldoorn,GM0200,200,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,341114405.413803,93784.366251379,1588550400000,363,70,45,163829,221.6,42.7,27.5,19
Appingedam,GM0003,3,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,24547490.8045197,25733.2664481901,1588550400000,5,3,0,11644,42.9,25.8,0,20
Arnhem,GM0202,202,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,101581032.777885,59768.4143914138,1588550400000,261,64,23,161368,161.7,39.7,14.3,21
Assen,GM0106,106,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,83426281.8658752,54237.0282723921,1588550400000,40,12,2,68606,58.3,17.5,2.9,22
Asten,GM0743,743,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,71323969.1653137,39379.4705935365,1588550400000,72,18,10,16734,430.3,107.6,59.8,23
Baarle-Nassau,GM0744,744,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,76318852.4466286,96383.7994884392,1588550400000,21,7,2,6860,306.1,102,29.2,24
Baarn,GM0308,308,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,33038334.2807198,31227.307313599,1588550400000,51,11,8,24873,205,44.2,32.2,25
Barendrecht,GM0489,489,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,21759117.8918762,19752.8289527909,1588550400000,114,36,11,48713,234,73.9,22.6,26
Barneveld,GM0203,203,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,176687116.336815,84598.6759210968,1588550400000,107,18,6,59077,181.1,30.5,10.2,27
Beek,GM0888,888,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,21029988.7092781,24133.9566315469,1588550400000,42,15,5,15868,264.7,94.5,31.5,28
Beekdaelen,GM1954,1954,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,78517840.3655357,61369.94180004,1588550400000,156,49,20,35976,433.6,136.2,55.6,29
Beemster,GM0370,370,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,72011010.8347778,38402.860918196,1588550400000,9,4,1,10025,89.8,39.9,10,30
Beesel,GM0889,889,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,29165270.6290436,24393.7164029837,1588550400000,41,20,8,13483,304.1,148.3,59.3,31
Berg en Dal,GM1945,1945,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,93276748.4337997,64658.2617433104,1588550400000,147,28,15,34990,420.1,80,42.9,32
Bergeijk,GM1724,1724,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,101789024.60619,57775.124851229,1588550400000,50,17,4,18638,268.3,91.2,21.5,33
Bergen (L.),GM0893,893,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,108482968.67691,61367.6290082595,1588550400000,22,7,2,13085,168.1,53.5,15.3,34
Bergen (NH.),GM0373,373,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,99965694.457161,53001.4782035034,1588550400000,51,16,3,29844,170.9,53.6,10.1,35
Bergen op Zoom,GM0748,748,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,93105026.9789104,48480.9571472233,1588550400000,111,21,8,67489,164.5,31.1,11.9,36
Berkelland,GM1859,1859,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,260169256.335594,97917.2120648871,1588550400000,69,8,7,43748,157.7,18.3,16,37
Bernheze,GM1721,1721,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,90382941.3636322,46913.784791554,1588550400000,260,96,60,31247,832.1,307.2,192,38
Best,GM0753,753,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,35076875.9097519,28014.526734097,1588550400000,65,31,10,29985,216.8,103.4,33.4,39
Beuningen,GM0209,209,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,47034770.5729065,31059.232995613,1588550400000,61,19,5,25891,235.6,73.4,19.3,40
Beverwijk,GM0375,375,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,18882322.3896828,25629.9009404413,1588550400000,70,15,9,41613,168.2,36,21.6,41
Bladel,GM1728,1728,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,75577472.6329727,43893.9331965485,1588550400000,58,19,8,20395,284.4,93.2,39.2,42
Blaricum,GM0376,376,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,11211770.5009232,27328.8221642274,1588550400000,25,8,2,11536,216.7,69.3,17.3,43
Bloemendaal,GM0377,377,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,40638304.2663574,43298.8793451303,1588550400000,46,8,4,23570,195.2,33.9,17,44
Bodegraven-Reeuwijk,GM1901,1901,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,88598852.8909607,50077.0517310984,1588550400000,48,7,1,34869,137.7,20.1,2.9,45
Boekel,GM0755,755,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,34527220.0046921,25272.8877584404,1588550400000,88,35,21,10784,816,324.6,194.7,46
Borger-Odoorn,GM1681,1681,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,277968150.944565,67378.3712861294,1588550400000,9,4,3,25558,35.2,15.7,11.7,47
Borne,GM0147,147,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,26173185.750351,25173.7565954823,1588550400000,49,14,6,23313,210.2,60.1,25.7,48
Borsele,GM0654,654,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,143288875.635956,65061.5753525536,1588550400000,22,5,0,22738,96.8,22,0,49
Boxmeer,GM0756,756,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,113839055.9412,65331.7278909064,1588550400000,112,18,24,29371,381.3,61.3,81.7,50
Boxtel,GM0757,757,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,64858667.0876732,43032.0023434964,1588550400000,60,24,12,30803,194.8,77.9,39,51
Breda,GM0758,758,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,128741395.501499,64603.3989674568,1588550400000,446,144,56,184271,242,78.1,30.4,52
Brielle,GM0501,501,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,31126674.6130924,27735.6553662602,1588550400000,31,11,0,17282,179.4,63.7,0,53
Bronckhorst,GM1876,1876,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,286413699.908897,106377.85551566,1588550400000,68,16,6,36052,188.6,44.4,16.6,54
Brummen,GM0213,213,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,84961199.0647049,54145.3258327691,1588550400000,32,16,5,20756,154.2,77.1,24.1,55
Brunssum,GM0899,899,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,17338704.9252548,18875.1169302942,1588550400000,86,42,13,27817,309.2,151,46.7,56
Bunnik,GM0312,312,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,37524157.4967041,34130.1409502819,1588550400000,33,9,1,15191,217.2,59.2,6.6,57
Bunschoten,GM0313,313,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,30798860.6503525,24531.9629384499,1588550400000,57,9,7,21867,260.7,41.2,32,58
Buren,GM0214,214,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,142896006.591755,70612.1196557473,1588550400000,43,16,6,26742,160.8,59.8,22.4,59
Capelle aan den IJssel,GM0502,502,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,15419020.502533,24698.2781029149,1588550400000,255,44,47,67151,379.7,65.5,70,60
Castricum,GM0383,383,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,55390580.5231667,43245.1995929594,1588550400000,74,14,9,35988,205.6,38.9,25,61
Coevorden,GM0109,109,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,299637365.241676,88286.3428932405,1588550400000,56,13,1,35296,158.7,36.8,2.8,62
Cranendonck,GM1706,1706,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,78076206.868763,44632.2720595509,1588550400000,162,62,35,21166,765.4,292.9,165.4,63
Cuijk,GM1684,1684,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,57074965.6857986,35212.9754799653,1588550400000,67,11,9,25139,266.5,43.8,35.8,64
Culemborg,GM0216,216,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,31178099.7203636,29219.1509150401,1588550400000,57,21,7,28956,196.9,72.5,24.2,65
Dalfsen,GM0148,148,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,166502460.159874,70328.9848822349,1588550400000,77,16,6,28585,269.4,56,21,66
Dantumadiel,GM1891,1891,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,87513747.8087082,46186.901059035,1588550400000,6,2,0,18916,31.7,10.6,0,67
De Bilt,GM0310,310,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,67090123.7834511,42994.573827668,1588550400000,131,24,15,43124,303.8,55.7,34.8,68
De Fryske Marren,GM1940,1940,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,418139390.609215,130418.554076991,1588550400000,57,15,5,51567,110.5,29.1,9.7,69
De Ronde Venen,GM0736,736,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,116957683.904652,56233.018800803,1588550400000,83,39,10,44457,186.7,87.7,22.5,70
De Wolden,GM1690,1690,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,226324873.509071,108220.316084292,1588550400000,44,11,2,24327,180.9,45.2,8.2,71
Delft,GM0503,503,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,24040370.5184441,28264.5592657891,1588550400000,123,38,9,103659,118.7,36.7,8.7,72
Delfzijl,GM0010,10,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,135663972.471436,85817.3625825432,1588550400000,16,5,0,24666,64.9,20.3,0,73
Den Helder,GM0400,400,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,47221145.7311096,37316.1306882483,1588550400000,37,12,1,56305,65.7,21.3,1.8,74
Deurne,GM0762,762,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,118352203.482491,54608.5915205223,1588550400000,147,51,19,32474,452.7,157,58.5,75
Deventer,GM0150,150,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,134355491.724175,62341.9624539459,1588550400000,231,45,29,100718,229.4,44.7,28.8,76
Diemen,GM0384,384,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,12985603.5990524,21217.9186128515,1588550400000,87,17,13,30781,282.6,55.2,42.2,77
Dinkelland,GM1774,1774,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,176745690.902061,87956.9989811653,1588550400000,70,18,9,26470,264.5,68,34,78
Doesburg,GM0221,221,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,12997342.2636032,20183.2203807696,1588550400000,32,9,6,11078,288.9,81.2,54.2,79
Doetinchem,GM0222,222,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,79683533.7091599,60433.7734026181,1588550400000,90,19,15,58009,155.1,32.8,25.9,80
Dongen,GM0766,766,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,29718598.7315636,28311.1148903659,1588550400000,73,18,11,26226,278.3,68.6,41.9,81
Dordrecht,GM0505,505,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,98928486.6829529,51654.4542773811,1588550400000,262,80,23,119300,219.6,67.1,19.3,82
Drechterland,GM0498,498,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,60022047.1051178,37220.5000852682,1588550400000,43,4,8,19717,218.1,20.3,40.6,83
Drimmelen,GM1719,1719,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,119404382.409271,59294.5575310836,1588550400000,61,18,6,27274,223.7,66,22,84
Dronten,GM0303,303,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,337420824.929031,84218.7055874439,1588550400000,107,28,11,41569,257.4,67.4,26.5,85
Druten,GM0225,225,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,42458881.5984726,37594.9851509286,1588550400000,110,24,8,18918,581.5,126.9,42.3,86
Duiven,GM0226,226,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,35214506.0564423,30050.7812197296,1588550400000,45,14,6,25124,179.1,55.7,23.9,87
Echt-Susteren,GM1711,1711,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,104663101.54911,64772.546372483,1588550400000,84,38,15,31618,265.7,120.2,47.4,88
Edam-Volendam,GM0385,385,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,57783668.8040848,49474.344751067,1588550400000,82,21,3,36201,226.5,58,8.3,89
Ede,GM0228,228,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,318605031.484032,86933.8398008727,1588550400000,190,54,20,117166,162.2,46.1,17.1,90
Eemnes,GM0317,317,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,31476544.9292068,26176.4421317148,1588550400000,14,2,1,9247,151.4,21.6,10.8,91
Eersel,GM0770,770,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,83325919.3193779,62455.3447514275,1588550400000,61,25,9,19314,315.8,129.4,46.6,92
Eijsden-Margraten,GM1903,1903,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,78730816.1818619,57229.4016392872,1588550400000,151,52,26,25753,586.3,201.9,101,93
Eindhoven,GM0772,772,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,88946725.7625313,49066.743714913,1588550400000,452,166,75,234456,192.8,70.8,32,94
Elburg,GM0230,230,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,64158097.3860168,43828.4198198442,1588550400000,114,23,8,23161,492.2,99.3,34.5,95
Emmen,GM0114,114,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,346239095.184975,80973.7958570209,1588550400000,98,20,10,107055,91.5,18.7,9.3,96
Enkhuizen,GM0388,388,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,14135516.3763046,25706.81782993,1588550400000,29,18,4,18592,156,96.8,21.5,97
Enschede,GM0153,153,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,142733269.065292,52865.2520117792,1588550400000,180,51,18,159734,112.7,31.9,11.3,98
Epe,GM0232,232,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,157388817.14225,62692.0698564377,1588550400000,126,38,18,33186,379.7,114.5,54.2,99
Ermelo,GM0233,233,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,85726323.0990753,47212.1005631684,1588550400000,116,24,13,27005,429.6,88.9,48.1,100
Etten-Leur,GM0777,777,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,55909926.4140434,38138.9029934679,1588550400000,166,41,27,43880,378.3,93.4,61.5,101
Geertruidenberg,GM0779,779,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,29689745.6180801,23899.4948418003,1588550400000,42,11,6,21538,195,51.1,27.9,102
Geldrop-Mierlo,GM1771,1771,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,31409182.1568604,28551.0235979026,1588550400000,102,32,14,39733,256.7,80.5,35.2,103
Gemert-Bakel,GM1652,1652,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,123340745.587254,46889.8146340114,1588550400000,169,75,30,30725,550,244.1,97.6,104
Gennep,GM0907,907,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,50427930.9170685,36416.5878529968,1588550400000,53,16,10,16924,313.2,94.5,59.1,105
Gilze en Rijen,GM0784,784,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,65687023.9801865,43557.3861892285,1588550400000,72,18,15,26438,272.3,68.1,56.7,106
Goeree-Overflakkee,GM1924,1924,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,268487326.798256,143624.56902017,1588550400000,246,53,30,50049,491.5,105.9,59.9,107
Goes,GM0664,664,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,99174020.9053173,52553.0823751911,1588550400000,69,11,10,38080,181.2,28.9,26.3,108
Goirle,GM0785,785,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,43401924.0535927,41804.0623195899,1588550400000,69,27,17,23906,288.6,112.9,71.1,109
Gooise Meren,GM1942,1942,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,45594492.5130234,57273.5986303199,1588550400000,97,23,8,58041,167.1,39.6,13.8,110
Gorinchem,GM0512,512,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,21948275.2225838,23915.4120943715,1588550400000,143,17,14,37009,386.4,45.9,37.8,111
Gouda,GM0513,513,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,18105156.2721596,22957.6931334553,1588550400000,228,36,37,73443,310.4,49,50.4,112
Grave,GM0786,786,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,28042630.8476639,27552.500429518,1588550400000,65,21,10,12437,522.6,168.9,80.4,113
Groningen,GM0014,14,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,197951839.64817,97086.598171381,1588550400000,160,18,3,232922,68.7,7.7,1.3,114
Gulpen-Wittem,GM1729,1729,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,73352568.0624352,49542.3987862743,1588550400000,73,21,12,14176,515,148.1,84.7,115
Haaksbergen,GM0158,158,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,105495498.718269,49388.0303424175,1588550400000,52,14,5,24309,213.9,57.6,20.6,116
Haaren,GM0788,788,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,58557698.6426659,42909.7890895951,1588550400000,43,18,7,14371,299.2,125.3,48.7,117
Haarlem,GM0392,392,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,32079410.2279511,30151.9747051223,1588550400000,248,58,48,162961,152.2,35.6,29.5,118
Haarlemmermeer,GM0394,394,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,206279362.166687,72488.6668929722,1588550400000,209,62,21,156039,133.9,39.7,13.5,119
Halderberge,GM1655,1655,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,75201605.7670174,43593.5911200686,1588550400000,53,13,6,30277,175.1,42.9,19.8,120
Hardenberg,GM0160,160,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,317133882.895287,120850.62068459,1588550400000,169,23,8,60940,277.3,37.7,13.1,121
Harderwijk,GM0243,243,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,39121737.1542282,33926.8380038714,1588550400000,131,30,15,48429,270.5,61.9,31,122
Hardinxveld-Giessendam,GM0523,523,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,19372825.6481781,25163.8824911202,1588550400000,30,1,2,18295,164,5.5,10.9,123
Harlingen,GM0072,72,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,26799196.4666824,28832.1441351226,1588550400000,16,4,1,15720,101.8,25.4,6.4,124
Hattem,GM0244,244,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,24171780.3090515,25129.9324869199,1588550400000,41,12,5,12213,335.7,98.3,40.9,125
Heemskerk,GM0396,396,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,27818826.3785477,28780.5633569947,1588550400000,77,25,9,39188,196.5,63.8,23,126
Heemstede,GM0397,397,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,9658592.07429886,13680.1408632868,1588550400000,87,10,31,27239,319.4,36.7,113.8,127
